,Team,Player,Att,Cmp,Pct,Yds,YPA,TD,TD_pct,Int,Int_pct,Lg,Sack,Loss,Rate,Season
0,Philadelphia Eagles,David Akers,,,,0,,0,,0,,0,4,,,2000
1,Philadelphia Eagles,Darnell Autry,,,,0,,0,,0,,0,2,,,2000
2,Philadelphia Eagles,Mike Bartrum,,,,0,,0,,0,,0,4,,,2000
3,Philadelphia Eagles,Jason Bostic,,,,0,,0,,0,,0,22,,,2000
4,Philadelphia Eagles,Luther Broughton,,,,0,,0,,0,,0,2,,,2000
5,Philadelphia Eagles,Mike Caldwell,,,,26,,26t,,1,,26t,65,,,2000
6,Philadelphia Eagles,Je'Rod Cherry,,,,0,,0,,0,,0,7,,,2000
7,Philadelphia Eagles,Rashard Cook,,,,0,,0,,0,,0,8,,,2000
8,Philadelphia Eagles,James Darling,,,,0,,0,,0,,0,16,,,2000
9,Philadelphia Eagles,Brian Dawkins,,,,62,,32,,4,,32,72,,,2000
10,Philadelphia Eagles,Dameane Douglas,,,,0,,0,,0,,0,4,,,2000
11,Philadelphia Eagles,Hugh Douglas,,,,9,,9,,1,,9,54,,,2000
12,Philadelphia Eagles,Carlos Emmons,,,,8,,8,,2,,8,79,,,2000
13,Philadelphia Eagles,Barry Gardner,,,,0,,0,,0,,0,60,,,2000
14,Philadelphia Eagles,Paul Grasmanis,,,,0,,0,,0,,0,35,,,2000
15,Philadelphia Eagles,Uhuru Hamiter,,,,0,,0,,0,,0,7,,,2000
16,Philadelphia Eagles,Al Harris,,,,1,,1,,0,,1,27,,,2000
17,Philadelphia Eagles,Tim Hauck,,,,0,,0,,0,,0,37,,,2000
18,Philadelphia Eagles,Charles Johnson,,,,0,,0,,0,,0,3,,,2000
19,Philadelphia Eagles,Sean Landeta,,,,0,,0,,0,,0,1,,,2000
20,Philadelphia Eagles,Amp Lee,,,,0,,0,,0,,0,2,,,2000
21,Philadelphia Eagles,Chad Lewis,,,,0,,0,,0,,0,1,,,2000
22,Philadelphia Eagles,Mike Mamula,,,,0,,0,,0,,0,23,,,2000
23,Philadelphia Eagles,Cecil Martin,,,,0,,0,,0,,0,2,,,2000
24,Philadelphia Eagles,Jermane Mayberry,,,,0,,0,,0,,0,1,,,2000
25,Philadelphia Eagles,Bubba Miller,,,,0,,0,,0,,0,3,,,2000
26,Philadelphia Eagles,Brian Mitchell,,,,0,,0,,0,,0,9,,,2000
27,Philadelphia Eagles,Damon Moore,,,,24,,20,,2,,20,70,,,2000
28,Philadelphia Eagles,Stanley Pritchett,,,,0,,0,,0,,0,4,,,2000
29,Philadelphia Eagles,Ike Reese,,,,0,,0,,0,,0,17,,,2000
30,Philadelphia Eagles,Jon Runyan,,,,0,,0,,0,,0,2,,,2000
31,Philadelphia Eagles,Corey Simon,,,,0,,0,,0,,0,52,,,2000
32,Philadelphia Eagles,Bobby Taylor,,,,64,,38,,3,,38,46,,,2000
33,Philadelphia Eagles,Hollis Thomas,,,,0,,0,,0,,0,60,,,2000
34,Philadelphia Eagles,Jeff Thomason,,,,0,,0,,0,,0,10,,,2000
35,Philadelphia Eagles,Jeremiah Trotter,,,,27,,27t,,1,,27t,120,,,2000
36,Philadelphia Eagles,Alex Van Dyke,,,,0,,0,,0,,0,3,,,2000
37,Philadelphia Eagles,Troy Vincent,,,,34,,17,,5,,17,77,,,2000
38,Philadelphia Eagles,John Welbourn,,,,0,,0,,0,,0,1,,,2000
39,Philadelphia Eagles,Brandon Whiting,,,,0,,0,,0,,0,34,,,2000
