,Team,Player,Att,Cmp,Pct,Yds,YPA,TD,TD_pct,Int,Int_pct,Lg,Sack,Loss,Rate,Season
0,Philadelphia Eagles,,,,,,,,,,,,,,,2000
1,Philadelphia Eagles,,,,,,,,,,,,,,,2000
2,Philadelphia Eagles,,,,,,,,,,,,,,,2000
3,Philadelphia Eagles,,,,,,,,,,,,,,,2000
4,Philadelphia Eagles,,,,,,,,,,,,,,,2000
5,Philadelphia Eagles,,,,,,,,,,,,,,,2000
6,Philadelphia Eagles,,,,,,,,,,,,,,,2000
7,Philadelphia Eagles,,,,,,,,,,,,,,,2000
8,Philadelphia Eagles,,,,,,,,,,,,,,,2000
9,Philadelphia Eagles,,,,,,,,,,,,,,,2000
10,Philadelphia Eagles,,,,,,,,,,,,,,,2000
11,Philadelphia Eagles,,,,,,,,,,,,,,,2000
12,Philadelphia Eagles,,,,,,,,,,,,,,,2000
13,Philadelphia Eagles,,,,,,,,,,,,,,,2000
14,Philadelphia Eagles,,,,,,,,,,,,,,,2000
15,Philadelphia Eagles,,,,,,,,,,,,,,,2000
