,Team,Player,Att,Cmp,Pct,Yds,YPA,TD,TD_pct,Int,Int_pct,Lg,Sack,Loss,Rate,Season
0,Philadelphia Eagles,David Akers,,,,,,,,,,,,,,2000
1,Philadelphia Eagles,Darnell Autry,,,,,,,,,,,,,,2000
2,Philadelphia Eagles,Mike Bartrum,,,,,,,,,,,,,,2000
3,Philadelphia Eagles,Jason Bostic,,,,,,,,,,,,,,2000
4,Philadelphia Eagles,Luther Broughton,,,,,,,,,,,,,,2000
5,Philadelphia Eagles,Na Brown,,,,,,,,,,,,,,2000
6,Philadelphia Eagles,Doug Brzezinski,,,,,,,,,,,,,,2000
7,Philadelphia Eagles,Mike Caldwell,,,,,,,,,,,,,,2000
8,Philadelphia Eagles,Je'Rod Cherry,,,,,,,,,,,,,,2000
9,Philadelphia Eagles,Rashard Cook,,,,,,,,,,,,,,2000
10,Philadelphia Eagles,James Darling,,,,,,,,,,,,,,2000
11,Philadelphia Eagles,Brian Dawkins,,,,,,,,,,,,,,2000
12,Philadelphia Eagles,Koy Detmer,,,,,,,,,,,,,,2000
13,Philadelphia Eagles,Dameane Douglas,,,,,,,,,,,,,,2000
14,Philadelphia Eagles,Hugh Douglas,,,,,,,,,,,,,,2000
15,Philadelphia Eagles,Carlos Emmons,,,,,,,,,,,,,,2000
16,Philadelphia Eagles,Barry Gardner,,,,,,,,,,,,,,2000
17,Philadelphia Eagles,Paul Grasmanis,,,,,,,,,,,,,,2000
18,Philadelphia Eagles,Uhuru Hamiter,,,,,,,,,,,,,,2000
19,Philadelphia Eagles,Al Harris,,,,,,,,,,,,,,2000
20,Philadelphia Eagles,Tim Hauck,,,,,,,,,,,,,,2000
21,Philadelphia Eagles,Greg Jefferson,,,,,,,,,,,,,,2000
22,Philadelphia Eagles,Charles Johnson,,,,,,,,,,,,,,2000
23,Philadelphia Eagles,Dwight Johnson,,,,,,,,,,,,,,2000
24,Philadelphia Eagles,Sean Landeta,,,,,,,,,,,,,,2000
25,Philadelphia Eagles,Amp Lee,,,,,,,,,,,,,,2000
26,Philadelphia Eagles,Chad Lewis,,,,,,,,,,,,,,2000
27,Philadelphia Eagles,Mike Mamula,,,,,,,,,,,,,,2000
28,Philadelphia Eagles,Cecil Martin,,,,,,,,,,,,,,2000
29,Philadelphia Eagles,Jermane Mayberry,,,,,,,,,,,,,,2000
30,Philadelphia Eagles,Donovan McNabb,,,,,,,,,,,,,,2000
31,Philadelphia Eagles,Bubba Miller,,,,,,,,,,,,,,2000
32,Philadelphia Eagles,Brian Mitchell,,,,,,,,,,,,,,2000
33,Philadelphia Eagles,Damon Moore,,,,,,,,,,,,,,2000
34,Philadelphia Eagles,Todd Pinkston,,,,,,,,,,,,,,2000
35,Philadelphia Eagles,Ron Powlus,,,,,,,,,,,,,,2000
36,Philadelphia Eagles,Stanley Pritchett,,,,,,,,,,,,,,2000
37,Philadelphia Eagles,Ike Reese,,,,,,,,,,,,,,2000
38,Philadelphia Eagles,Jon Runyan,,,,,,,,,,,,,,2000
39,Philadelphia Eagles,Ryan Schau,,,,,,,,,,,,,,2000
40,Philadelphia Eagles,Corey Simon,,,,,,,,,,,,,,2000
41,Philadelphia Eagles,Torrance Small,,,,,,,,,,,,,,2000
42,Philadelphia Eagles,Duce Staley,,,,,,,,,,,,,,2000
43,Philadelphia Eagles,Bobby Taylor,,,,,,,,,,,,,,2000
44,Philadelphia Eagles,Hollis Thomas,,,,,,,,,,,,,,2000
45,Philadelphia Eagles,Tra Thomas,,,,,,,,,,,,,,2000
46,Philadelphia Eagles,Jeff Thomason,,,,,,,,,,,,,,2000
47,Philadelphia Eagles,Jeremiah Trotter,,,,,,,,,,,,,,2000
48,Philadelphia Eagles,Alex Van Dyke,,,,,,,,,,,,,,2000
49,Philadelphia Eagles,Troy Vincent,,,,,,,,,,,,,,2000
50,Philadelphia Eagles,Chris Warren,,,,,,,,,,,,,,2000
51,Philadelphia Eagles,John Welbourn,,,,,,,,,,,,,,2000
52,Philadelphia Eagles,Brandon Whiting,,,,,,,,,,,,,,2000
53,Philadelphia Eagles,Tyrone Williams,,,,,,,,,,,,,,2000
