,Team,Player,Tot,R,P,KR,PR,IR,FR,BK,BP,FGR,PAT,FG,Conv,Saf,Pts,Season,Type
0,Philadelphia Eagles,David Akers,0,0,0,0,0,0,0,0,0,0,34/36,29/33,0,0,121,2000,Scoring
1,Philadelphia Eagles,Charles Johnson,7,0,7,0,0,0,0,0,0,0,0/0,0/0,0,0,42,2000,Scoring
2,Philadelphia Eagles,Donovan McNabb,6,6,0,0,0,0,0,0,0,0,0/0,0/0,0,0,36,2000,Scoring
3,Philadelphia Eagles,Jeff Thomason,5,0,5,0,0,0,0,0,0,0,0/0,0/0,0,0,30,2000,Scoring
4,Philadelphia Eagles,Brian Mitchell,5,2,1,1,1,0,0,0,0,0,0/0,0/0,0,0,30,2000,Scoring
5,Philadelphia Eagles,Darnell Autry,4,3,1,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2000,Scoring
6,Philadelphia Eagles,Torrance Small,3,0,3,0,0,0,0,0,0,0,0/0,0/0,1,0,20,2000,Scoring
7,Philadelphia Eagles,Chad Lewis,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2000,Scoring
8,Philadelphia Eagles,Jeremiah Trotter,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2000,Scoring
9,Philadelphia Eagles,Duce Staley,1,1,0,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2000,Scoring
10,Philadelphia Eagles,Na Brown,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2000,Scoring
0,Philadelphia Eagles,Caleb Sturgis,0,0,0,0,0,0,0,0,0,0,30/31,35/41,0,0,135,2016,Scoring
1,Philadelphia Eagles,Ryan Mathews,9,8,1,0,0,0,0,0,0,0,0/0,0/0,2,0,58,2016,Scoring
2,Philadelphia Eagles,Zach Ertz,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2016,Scoring
3,Philadelphia Eagles,Darren Sproles,4,2,2,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2016,Scoring
4,Philadelphia Eagles,Jordan Matthews,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2016,Scoring
5,Philadelphia Eagles,Nelson Agholor,2,0,2,0,0,0,0,0,0,0,0/0,0/0,1,0,14,2016,Scoring
6,Philadelphia Eagles,Carson Wentz,2,2,0,0,0,0,0,0,0,0,0/0,0/0,1,0,14,2016,Scoring
7,Philadelphia Eagles,Kenjon Barner,2,2,0,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2016,Scoring
8,Philadelphia Eagles,Wendell Smallwood,2,1,0,1,0,0,0,0,0,0,0/0,0/0,0,0,12,2016,Scoring
9,Philadelphia Eagles,Josh Huff,2,0,1,1,0,0,0,0,0,0,0/0,0/0,0,0,12,2016,Scoring
10,Philadelphia Eagles,Malcolm Jenkins,2,0,0,0,0,2,0,0,0,0,0/0,0/0,0,0,12,2016,Scoring
11,Philadelphia Eagles,Dorial Green-Beckham,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2016,Scoring
12,Philadelphia Eagles,Trey Burton,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2016,Scoring
13,Philadelphia Eagles,Leodis McKelvin,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2016,Scoring
14,Philadelphia Eagles,Terrell Watson,1,1,0,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2016,Scoring
0,Philadelphia Eagles,David Akers,0,0,0,0,0,0,0,0,0,0,37/38,26/31,0,0,115,2001,Scoring
1,Philadelphia Eagles,James Thrash,8,0,8,0,0,0,0,0,0,0,0/0,0/0,0,0,48,2001,Scoring
2,Philadelphia Eagles,Chad Lewis,6,0,6,0,0,0,0,0,0,0,0/0,0/0,0,0,36,2001,Scoring
3,Philadelphia Eagles,Todd Pinkston,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2001,Scoring
4,Philadelphia Eagles,Duce Staley,4,2,2,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2001,Scoring
5,Philadelphia Eagles,Cecil Martin,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2001,Scoring
6,Philadelphia Eagles,Donovan McNabb,2,2,0,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2001,Scoring
7,Philadelphia Eagles,Dameane Douglas,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2001,Scoring
8,Philadelphia Eagles,Correll Buckhalter,2,2,0,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2001,Scoring
9,Philadelphia Eagles,William Hampton,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2001,Scoring
10,Philadelphia Eagles,Freddie Mitchell,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2001,Scoring
11,Philadelphia Eagles,Damon Moore,1,0,0,0,0,0,1,0,0,0,0/0,0/0,0,0,6,2001,Scoring
