,Team,Player,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,Season,Type
0,Philadelphia Eagles,David Akers,0,0,0.00,0,0,0,2,2,4,0.0,2000,Defense
1,Philadelphia Eagles,Darnell Autry,0,0,0.00,0,0,0,2,0,2,0.0,2000,Defense
2,Philadelphia Eagles,Mike Bartrum,0,0,0.00,0,0,0,2,2,4,0.0,2000,Defense
3,Philadelphia Eagles,Jason Bostic,0,0,0.00,0,0,0,17,5,22,0.0,2000,Defense
4,Philadelphia Eagles,Luther Broughton,0,0,0.00,0,0,0,2,0,2,0.0,2000,Defense
5,Philadelphia Eagles,Mike Caldwell,1,26,26.00,26t,26t,1,59,6,65,0.0,2000,Defense
6,Philadelphia Eagles,Je'Rod Cherry,0,0,0.00,0,0,0,7,0,7,0.0,2000,Defense
7,Philadelphia Eagles,Rashard Cook,0,0,0.00,0,0,0,6,2,8,0.0,2000,Defense
8,Philadelphia Eagles,James Darling,0,0,0.00,0,0,0,12,4,16,0.5,2000,Defense
9,Philadelphia Eagles,Brian Dawkins,4,62,15.50,32,32,0,55,17,72,2.0,2000,Defense
10,Philadelphia Eagles,Dameane Douglas,0,0,0.00,0,0,0,3,1,4,0.0,2000,Defense
11,Philadelphia Eagles,Hugh Douglas,1,9,9.00,9,9,0,44,10,54,15.0,2000,Defense
12,Philadelphia Eagles,Carlos Emmons,2,8,4.00,8,8,0,56,23,79,0.5,2000,Defense
13,Philadelphia Eagles,Barry Gardner,0,0,0.00,0,0,0,45,15,60,1.0,2000,Defense
14,Philadelphia Eagles,Paul Grasmanis,0,0,0.00,0,0,0,30,5,35,3.5,2000,Defense
15,Philadelphia Eagles,Uhuru Hamiter,0,0,0.00,0,0,0,5,2,7,0.0,2000,Defense
16,Philadelphia Eagles,Al Harris,0,1,0.00,1,1,0,25,2,27,0.0,2000,Defense
17,Philadelphia Eagles,Tim Hauck,0,0,0.00,0,0,0,25,12,37,0.0,2000,Defense
18,Philadelphia Eagles,Charles Johnson,0,0,0.00,0,0,0,3,0,3,0.0,2000,Defense
19,Philadelphia Eagles,Sean Landeta,0,0,0.00,0,0,0,0,1,1,0.0,2000,Defense
20,Philadelphia Eagles,Amp Lee,0,0,0.00,0,0,0,2,0,2,0.0,2000,Defense
21,Philadelphia Eagles,Chad Lewis,0,0,0.00,0,0,0,1,0,1,0.0,2000,Defense
22,Philadelphia Eagles,Mike Mamula,0,0,0.00,0,0,0,18,5,23,5.5,2000,Defense
23,Philadelphia Eagles,Cecil Martin,0,0,0.00,0,0,0,2,0,2,0.0,2000,Defense
24,Philadelphia Eagles,Jermane Mayberry,0,0,0.00,0,0,0,1,0,1,0.0,2000,Defense
25,Philadelphia Eagles,Bubba Miller,0,0,0.00,0,0,0,3,0,3,0.0,2000,Defense
26,Philadelphia Eagles,Brian Mitchell,0,0,0.00,0,0,0,6,3,9,0.0,2000,Defense
27,Philadelphia Eagles,Damon Moore,2,24,12.00,20,20,0,59,11,70,0.0,2000,Defense
28,Philadelphia Eagles,Stanley Pritchett,0,0,0.00,0,0,0,4,0,4,0.0,2000,Defense
29,Philadelphia Eagles,Ike Reese,0,0,0.00,0,0,0,15,2,17,0.0,2000,Defense
30,Philadelphia Eagles,Jon Runyan,0,0,0.00,0,0,0,2,0,2,0.0,2000,Defense
31,Philadelphia Eagles,Corey Simon,0,0,0.00,0,0,0,38,14,52,9.5,2000,Defense
32,Philadelphia Eagles,Bobby Taylor,3,64,21.33,38,38,0,39,7,46,0.0,2000,Defense
33,Philadelphia Eagles,Hollis Thomas,0,0,0.00,0,0,0,46,14,60,4.0,2000,Defense
34,Philadelphia Eagles,Jeff Thomason,0,0,0.00,0,0,0,7,3,10,0.0,2000,Defense
35,Philadelphia Eagles,Jeremiah Trotter,1,27,27.00,27t,27t,1,99,21,120,3.0,2000,Defense
36,Philadelphia Eagles,Alex Van Dyke,0,0,0.00,0,0,0,3,0,3,0.0,2000,Defense
37,Philadelphia Eagles,Troy Vincent,5,34,6.80,17,17,0,64,13,77,1.0,2000,Defense
38,Philadelphia Eagles,John Welbourn,0,0,0.00,0,0,0,1,0,1,0.0,2000,Defense
39,Philadelphia Eagles,Brandon Whiting,0,0,0.00,0,0,0,22,12,34,3.5,2000,Defense
0,Philadelphia Eagles,Nelson Agholor,0,0,0.00,0,0,0,3,0,3,0.0,2016,Defense
1,Philadelphia Eagles,Beau Allen,0,0,0.00,0,0,0,15,14,29,0.5,2016,Defense
2,Philadelphia Eagles,Allen Barbre,0,0,0.00,0,0,0,0,1,1,0.0,2016,Defense
3,Philadelphia Eagles,Connor Barwin,0,0,0.00,0,0,0,20,14,34,5.0,2016,Defense
4,Philadelphia Eagles,Nigel Bradham,1,28,28.00,28,28,0,69,33,102,2.0,2016,Defense
5,Philadelphia Eagles,Bryan Braman,0,0,0.00,0,0,0,5,0,5,0.0,2016,Defense
6,Philadelphia Eagles,Brandon Brooks,0,0,0.00,0,0,0,1,1,2,0.0,2016,Defense
7,Philadelphia Eagles,Ron Brooks,0,0,0.00,0,0,0,12,2,14,0.0,2016,Defense
8,Philadelphia Eagles,Terrence Brooks,1,6,6.00,6,6,0,4,1,5,0.0,2016,Defense
9,Philadelphia Eagles,Trey Burton,0,0,0.00,0,0,0,7,1,8,0.0,2016,Defense
10,Philadelphia Eagles,Nolan Carroll,1,0,0.00,0,0,0,41,14,55,0.0,2016,Defense
11,Philadelphia Eagles,Brent Celek,0,0,0.00,0,0,0,1,0,1,0.0,2016,Defense
12,Philadelphia Eagles,Fletcher Cox,0,0,0.00,0,0,0,27,16,43,6.5,2016,Defense
13,Philadelphia Eagles,Vinny Curry,0,0,0.00,0,0,0,18,8,26,2.5,2016,Defense
14,Philadelphia Eagles,Zach Ertz,0,0,0.00,0,0,0,1,0,1,0.0,2016,Defense
15,Philadelphia Eagles,Najee Goode,0,0,0.00,0,0,0,9,1,10,0.0,2016,Defense
16,Philadelphia Eagles,Brandon Graham,0,0,0.00,0,0,0,41,18,59,5.5,2016,Defense
17,Philadelphia Eagles,Dorial Green-Beckham,0,0,0.00,0,0,0,1,0,1,0.0,2016,Defense
18,Philadelphia Eagles,Kamu Grugier-Hill,0,0,0.00,0,0,0,7,1,8,0.0,2016,Defense
19,Philadelphia Eagles,Jordan Hicks,5,41,8.20,34,34,0,58,27,85,1.0,2016,Defense
20,Philadelphia Eagles,Josh Huff,0,0,0.00,0,0,0,2,1,3,0.0,2016,Defense
21,Philadelphia Eagles,Malcolm Jenkins,3,98,32.67,64t,64t,2,47,25,72,1.0,2016,Defense
22,Philadelphia Eagles,Mychal Kendricks,0,0,0.00,0,0,0,23,9,32,0.0,2016,Defense
23,Philadelphia Eagles,Bennie Logan,0,0,0.00,0,0,0,16,8,24,2.5,2016,Defense
24,Philadelphia Eagles,Chris Maragos,0,0,0.00,0,0,0,10,2,12,0.0,2016,Defense
25,Philadelphia Eagles,Ryan Mathews,0,0,0.00,0,0,0,1,0,1,0.0,2016,Defense
26,Philadelphia Eagles,Jordan Matthews,0,0,0.00,0,0,0,1,0,1,0.0,2016,Defense
