,Team,Player,Fum,Lost,Forced,Own,Opp,Tot,Yds,TD,Season,Type
0,Philadelphia Eagles,Carson Wentz,14,3,0,7,0,7,-29,0,2016,Fumbles
1,Philadelphia Eagles,Ryan Mathews,3,2,0,0,0,0,0,0,2016,Fumbles
2,Philadelphia Eagles,Brent Celek,1,0,0,1,0,1,0,0,2016,Fumbles
3,Philadelphia Eagles,Nelson Agholor,1,0,0,1,0,1,0,0,2016,Fumbles
4,Philadelphia Eagles,Donnie Jones,1,0,0,1,0,1,-14,0,2016,Fumbles
5,Philadelphia Eagles,Jason Kelce,1,0,0,1,0,1,0,0,2016,Fumbles
6,Philadelphia Eagles,Jordan Matthews,1,0,0,0,0,0,0,0,2016,Fumbles
7,Philadelphia Eagles,Darren Sproles,1,0,0,3,0,3,0,0,2016,Fumbles
8,Philadelphia Eagles,Wendell Smallwood,1,1,0,0,0,0,0,0,2016,Fumbles
9,Philadelphia Eagles,Trey Burton,0,0,1,0,1,1,0,0,2016,Fumbles
10,Philadelphia Eagles,Terrence Brooks,0,0,2,0,0,0,0,0,2016,Fumbles
11,Philadelphia Eagles,Ron Brooks,0,0,0,0,1,1,0,0,2016,Fumbles
12,Philadelphia Eagles,Rodney McLeod,0,0,1,0,0,0,0,0,2016,Fumbles
13,Philadelphia Eagles,Nigel Bradham,0,0,2,0,1,1,0,0,2016,Fumbles
14,Philadelphia Eagles,Connor Barwin,0,0,1,0,0,0,0,0,2016,Fumbles
15,Philadelphia Eagles,Beau Allen,0,0,0,0,1,1,10,0,2016,Fumbles
16,Philadelphia Eagles,Nolan Carroll,0,0,1,0,0,0,0,0,2016,Fumbles
17,Philadelphia Eagles,Halapoulivaati Vaitai,0,0,0,1,0,1,0,0,2016,Fumbles
18,Philadelphia Eagles,Fletcher Cox,0,0,1,0,1,1,0,0,2016,Fumbles
19,Philadelphia Eagles,Brandon Graham,0,0,2,0,1,1,4,0,2016,Fumbles
20,Philadelphia Eagles,Jordan Hicks,0,0,0,0,1,1,0,0,2016,Fumbles
21,Philadelphia Eagles,Destiny Vaeao,0,0,1,0,0,0,0,0,2016,Fumbles
22,Philadelphia Eagles,Mychal Kendricks,0,0,0,0,1,1,15,0,2016,Fumbles
23,Philadelphia Eagles,Bennie Logan,0,0,2,0,1,1,0,0,2016,Fumbles
24,Philadelphia Eagles,Steven Means,0,0,1,0,0,0,0,0,2016,Fumbles
25,Philadelphia Eagles,Malcolm Jenkins,0,0,0,0,1,1,0,0,2016,Fumbles
0,Philadelphia Eagles,Michael Vick,11,3,0,4,0,4,-4,0,2010,Fumbles
1,Philadelphia Eagles,Kevin Kolb,6,3,0,1,0,1,0,0,2010,Fumbles
2,Philadelphia Eagles,DeSean Jackson,4,1,0,1,0,1,0,0,2010,Fumbles
3,Philadelphia Eagles,LeSean McCoy,2,1,0,1,0,1,0,0,2010,Fumbles
4,Philadelphia Eagles,Jorrick Calvin,2,1,0,1,0,1,0,0,2010,Fumbles
5,Philadelphia Eagles,Mike Bell,1,0,0,1,0,1,0,0,2010,Fumbles
6,Philadelphia Eagles,Trevor Laws,1,0,1,0,0,0,0,0,2010,Fumbles
7,Philadelphia Eagles,Dimitri Patterson,1,0,0,0,0,0,0,0,2010,Fumbles
8,Philadelphia Eagles,Ellis Hobbs,1,0,0,0,0,0,0,0,2010,Fumbles
9,Philadelphia Eagles,Jeremy Maclin,1,1,0,0,0,0,0,0,2010,Fumbles
