,Team,Player,PAT,FG,_0_19,_20_29,_30_39,_40_49,_50plus,Lg,Pts,Season,Type
0,Philadelphia Eagles,David Akers,34/36,29/33,1/1,6/6,14/15,7/10,1/1,51,121,2000,Kicking
0,Philadelphia Eagles,Caleb Sturgis,30/31,35/41,0/0,12/12,12/12,7/11,4/6,55,135,2016,Kicking
0,Philadelphia Eagles,Caleb Sturgis,30/31,35/41,0/0,12/12,12/12,7/11,4/6,55,135,2016,Kicking
0,Philadelphia Eagles,David Akers,37/38,26/31,1/1,9/9,7/8,7/10,2/3,50,115,2001,Kicking
0,Philadelphia Eagles,David Akers,43/43,30/34,0/0,9/9,14/16,6/7,1/2,51,133,2002,Kicking
0,Philadelphia Eagles,David Akers,42/42,24/29,0/0,9/9,7/7,6/10,2/3,57,114,2003,Kicking
0,Philadelphia Eagles,David Akers,41/42,27/32,0/0,4/4,6/7,15/18,2/3,51,122,2004,Kicking
0,Philadelphia Eagles,David Akers,23/23,16/22,0/0,3/3,7/8,5/9,1/2,50,71,2005,Kicking
1,Philadelphia Eagles,Todd France,5/5,6/7,0/0,3/3,1/1,2/3,0/0,44,23,2005,Kicking
2,Philadelphia Eagles,Jose Cortez,3/3,0/0,0/0,0/0,0/0,0/0,0/0,0,3,2005,Kicking
3,Philadelphia Eagles,Mark Simoneau,1/2,0/0,0/0,0/0,0/0,0/0,0/0,0,1,2005,Kicking
0,Philadelphia Eagles,David Akers,48/48,18/23,0/0,9/10,3/5,6/8,0/0,47,102,2006,Kicking
0,Philadelphia Eagles,David Akers,36/36,24/32,0/0,12/12,10/10,1/6,1/4,53,108,2007,Kicking
0,Philadelphia Eagles,David Akers,45/45,33/40,2/2,11/11,10/12,8/10,2/5,51,144,2008,Kicking
0,Philadelphia Eagles,David Akers,43/45,32/37,1/1,11/11,8/9,11/13,1/3,52,139,2009,Kicking
0,Philadelphia Eagles,David Akers,47/47,32/38,0/0,12/12,10/12,9/11,1/3,50,143,2010,Kicking
0,Philadelphia Eagles,Alex Henery,46/46,24/27,0/0,10/10,9/11,4/4,1/2,51,118,2011,Kicking
0,Philadelphia Eagles,Alex Henery,25/26,27/31,0/0,8/9,8/9,11/12,0/1,49,106,2012,Kicking
0,Philadelphia Eagles,Alex Henery,45/45,23/28,0/0,8/8,7/8,7/10,1/2,51,114,2013,Kicking
0,Philadelphia Eagles,Cody Parkey,54/54,32/36,0/0,10/10,14/16,4/6,4/4,54,150,2014,Kicking
0,Philadelphia Eagles,Caleb Sturgis,35/37,18/22,0/0,4/4,8/10,4/4,2/4,53,89,2015,Kicking
1,Philadelphia Eagles,Cody Parkey,7/7,3/4,0/0,1/1,1/1,1/2,0/0,46,16,2015,Kicking
0,New England Patriots,Adam Vinatieri,25/25,27/33,0/0,11/13,8/9,7/8,1/3,53,106,2000,Kicking
0,New England Patriots,Adam Vinatieri,41/42,24/30,1/1,8/8,7/8,7/12,1/1,54,113,2001,Kicking
0,New England Patriots,Adam Vinatieri,36/36,27/30,0/0,6/6,12/12,8/10,1/2,57,117,2002,Kicking
0,New England Patriots,Adam Vinatieri,37/38,25/34,0/0,16/17,4/8,5/8,0/1,48,112,2003,Kicking
0,New England Patriots,Adam Vinatieri,48/48,31/33,0/0,13/13,7/7,11/12,0/1,48,141,2004,Kicking
0,New England Patriots,Adam Vinatieri,40/41,20/25,0/0,7/7,9/10,4/6,0/2,49,100,2005,Kicking
1,New England Patriots,Doug Flutie,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0,1,2005,Kicking
0,New England Patriots,Stephen Gostkowski,43/44,20/26,0/0,10/11,7/10,2/4,1/1,52,103,2006,Kicking
0,New England Patriots,Stephen Gostkowski,74/74,21/24,0/0,10/10,8/9,3/5,0/0,45,137,2007,Kicking
0,New England Patriots,Stephen Gostkowski,40/40,36/40,0/0,10/12,16/16,9/11,1/1,50,148,2008,Kicking
0,New England Patriots,Stephen Gostkowski,47/47,26/31,0/0,7/7,12/13,5/8,2/3,53,125,2009,Kicking
0,New England Patriots,Shayne Graham,35/37,12/12,1/1,5/5,5/5,1/1,0/0,41,71,2010,Kicking
1,New England Patriots,Stephen Gostkowski,26/26,10/13,0/0,2/2,6/7,2/3,0/1,43,56,2010,Kicking
2,New England Patriots,Wes Welker,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0,1,2010,Kicking
0,New England Patriots,Stephen Gostkowski,59/59,28/33,1/1,12/13,5/6,9/11,1/2,50,143,2011,Kicking
0,New England Patriots,Stephen Gostkowski,66/66,29/35,0/0,8/8,10/12,9/13,2/2,53,153,2012,Kicking
0,New England Patriots,Stephen Gostkowski,44/44,38/41,1/1,8/8,13/13,11/13,5/6,54,158,2013,Kicking
0,New England Patriots,Stephen Gostkowski,51/51,35/37,1/1,11/11,10/11,12/13,1/1,53,156,2014,Kicking
0,New England Patriots,Stephen Gostkowski,52/52,33/36,0/0,6/6,11/11,12/14,4/5,57,151,2015,Kicking
0,New England Patriots,Stephen Gostkowski,46/49,27/32,0/0,9/9,7/9,9/10,2/4,53,127,2016,Kicking
