,Team,Player,Num,Yds,Avg,FC,Lg,TD,Season,Type
0,Philadelphia Eagles,Brian Mitchell,47,"1,124",23.91,0,89t,1,2000,Kickoff Returns
1,Philadelphia Eagles,Dameane Douglas,2,50,25.00,0,41,0,2000,Kickoff Returns
2,Philadelphia Eagles,Luther Broughton,1,20,20.00,0,20,0,2000,Kickoff Returns
3,Philadelphia Eagles,Brandon Whiting,1,18,18.00,0,18,0,2000,Kickoff Returns
4,Philadelphia Eagles,Stanley Pritchett,1,15,15.00,0,15,0,2000,Kickoff Returns
5,Philadelphia Eagles,Jeff Thomason,1,10,10.00,0,10,0,2000,Kickoff Returns
0,Philadelphia Eagles,Kenjon Barner,9,277,30.78,0,61,0,2016,Kickoff Returns
1,Philadelphia Eagles,Wendell Smallwood,9,261,29.00,0,86t,1,2016,Kickoff Returns
2,Philadelphia Eagles,Josh Huff,7,252,36.00,0,98t,1,2016,Kickoff Returns
3,Philadelphia Eagles,Nelson Agholor,5,92,18.40,0,27,0,2016,Kickoff Returns
4,Philadelphia Eagles,Byron Marshall,2,36,18.00,0,23,0,2016,Kickoff Returns
5,Philadelphia Eagles,Darren Sproles,1,19,19.00,0,19,0,2016,Kickoff Returns
6,Philadelphia Eagles,Paul Turner,1,11,11.00,0,11,0,2016,Kickoff Returns
7,Philadelphia Eagles,Zach Ertz,1,8,8.00,0,8,0,2016,Kickoff Returns
0,Philadelphia Eagles,Brian Mitchell,41,"1,025",25.00,0,94t,1,2001,Kickoff Returns
1,Philadelphia Eagles,James Thrash,5,101,20.20,0,34,0,2001,Kickoff Returns
2,Philadelphia Eagles,Dameane Douglas,2,32,16.00,0,18,0,2001,Kickoff Returns
3,Philadelphia Eagles,Correll Buckhalter,1,28,28.00,0,28,0,2001,Kickoff Returns
4,Philadelphia Eagles,Chad Lewis,0,-10,0.00,0,-10,0,2001,Kickoff Returns
5,Philadelphia Eagles,Ike Reese,0,-11,0.00,0,-11,0,2001,Kickoff Returns
0,Philadelphia Eagles,Brian Mitchell,43,"1,162",27.02,0,57,0,2002,Kickoff Returns
1,Philadelphia Eagles,Dameane Douglas,4,77,19.25,0,23,0,2002,Kickoff Returns
2,Philadelphia Eagles,Dorsey Levens,1,24,24.00,0,24,0,2002,Kickoff Returns
3,Philadelphia Eagles,Jeremy Slechta,2,22,11.00,0,12,0,2002,Kickoff Returns
4,Philadelphia Eagles,Jeff Thomason,1,12,12.00,0,12,0,2002,Kickoff Returns
5,Philadelphia Eagles,Ndukwe Kalu,1,0,0.00,0,0,0,2002,Kickoff Returns
0,Philadelphia Eagles,James Thrash,34,815,23.97,0,54,0,2003,Kickoff Returns
1,Philadelphia Eagles,Brian Westbrook,23,487,21.17,0,47,0,2003,Kickoff Returns
2,Philadelphia Eagles,Sean Morey,7,93,13.29,0,24,0,2003,Kickoff Returns
3,Philadelphia Eagles,Freddie Mitchell,1,-8,-8.00,0,-8,0,2003,Kickoff Returns
0,Philadelphia Eagles,J.R. Reed,33,761,23.06,0,66,0,2004,Kickoff Returns
1,Philadelphia Eagles,Roderick Hood,15,336,22.40,0,45,0,2004,Kickoff Returns
2,Philadelphia Eagles,Reno Mahe,3,44,14.67,0,22,0,2004,Kickoff Returns
3,Philadelphia Eagles,Greg Lewis,2,28,14.00,0,15,0,2004,Kickoff Returns
4,Philadelphia Eagles,Josh Parry,2,24,12.00,0,14,0,2004,Kickoff Returns
5,Philadelphia Eagles,Dexter Wynn,1,21,21.00,0,21,0,2004,Kickoff Returns
0,Philadelphia Eagles,Roderick Hood,38,900,23.68,0,53,0,2005,Kickoff Returns
1,Philadelphia Eagles,Dexter Wynn,16,284,17.75,0,27,0,2005,Kickoff Returns
2,Philadelphia Eagles,Bruce Perry,10,273,27.30,0,49,0,2005,Kickoff Returns
3,Philadelphia Eagles,Lamar Gordon,3,64,21.33,0,25,0,2005,Kickoff Returns
4,Philadelphia Eagles,Ryan Moats,2,26,13.00,0,15,0,2005,Kickoff Returns
5,Philadelphia Eagles,Reno Mahe,1,19,19.00,0,19,0,2005,Kickoff Returns
6,Philadelphia Eagles,Mike Patterson,1,12,12.00,0,12,0,2005,Kickoff Returns
0,Philadelphia Eagles,Reno Mahe,30,667,22.23,0,64,0,2006,Kickoff Returns
1,Philadelphia Eagles,Dexter Wynn,18,362,20.11,0,34,0,2006,Kickoff Returns
2,Philadelphia Eagles,Bruce Perry,3,57,19.00,0,24,0,2006,Kickoff Returns
3,Philadelphia Eagles,Greg Lewis,2,46,23.00,0,28,0,2006,Kickoff Returns
4,Philadelphia Eagles,Ryan Moats,2,43,21.50,0,23,0,2006,Kickoff Returns
