,Team,Player,Att,Cmp,Pct,Yds,YPA,TD,TD_pct,Int,Int_pct,Lg,Sack,Loss,Rate,Season
0,Philadelphia Eagles,Donovan McNabb,569,330,58.0,"3,365",5.9,21,3.7,13,2.3,70t,45,262,77.8,2000
1,Philadelphia Eagles,Brian Mitchell,4,1,25.0,21,5.2,0,0.0,0,0.0,21,0,0,49.0,2000
2,Philadelphia Eagles,Torrance Small,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0,0,0.0,2000
3,Philadelphia Eagles,Koy Detmer,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0,0,0.0,2000
0,Philadelphia Eagles,Carson Wentz,607,379,62.4,"3,782",6.2,16,2.6,14,2.3,73t,33,213,79.3,2016
1,Philadelphia Eagles,Chase Daniel,1,1,100.0,16,16.0,0,0.0,0,0.0,16,0,0,118.8,2016
2,Philadelphia Eagles,Josh Huff,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,39.6,2016
0,Philadelphia Eagles,Donovan McNabb,493,285,57.8,"3,233",6.6,25,5.1,12,2.4,64t,39,273,84.3,2001
1,Philadelphia Eagles,A.J. Feeley,14,10,71.4,143,10.2,2,14.3,1,7.1,27,0,0,114.0,2001
2,Philadelphia Eagles,Koy Detmer,14,5,35.7,51,3.6,0,0.0,1,7.1,16,1,9,17.3,2001
3,Philadelphia Eagles,Freddie Mitchell,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,39.6,2001
0,Philadelphia Eagles,Donovan McNabb,361,211,58.4,"2,289",6.3,17,4.7,6,1.7,59t,28,166,86.0,2002
1,Philadelphia Eagles,A.J. Feeley,154,86,55.8,"1,011",6.6,6,3.9,5,3.2,53,7,48,75.4,2002
2,Philadelphia Eagles,Koy Detmer,28,19,67.9,224,8.0,2,7.1,0,0.0,37,1,8,115.8,2002
3,Philadelphia Eagles,Brian Mitchell,1,1,100.0,57,57.0,1,100.0,0,0.0,57t,0,0,158.3,2002
4,Philadelphia Eagles,Brian Westbrook,1,1,100.0,25,25.0,1,100.0,0,0.0,25t,0,0,158.3,2002
5,Philadelphia Eagles,Dorsey Levens,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,39.6,2002
6,Philadelphia Eagles,Freddie Mitchell,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,39.6,2002
0,Philadelphia Eagles,Donovan McNabb,478,275,57.5,"3,216",6.7,16,3.3,11,2.3,59,43,253,79.6,2003
1,Philadelphia Eagles,Koy Detmer,5,3,60.0,32,6.4,0,0.0,0,0.0,15,0,0,78.8,2003
2,Philadelphia Eagles,Freddie Mitchell,1,1,100.0,25,25.0,1,100.0,0,0.0,25t,0,0,158.3,2003
0,Philadelphia Eagles,Donovan McNabb,469,300,64.0,"3,875",8.3,31,6.6,8,1.7,80,32,192,104.7,2004
1,Philadelphia Eagles,Koy Detmer,40,18,45.0,207,5.2,0,0.0,2,5.0,31,2,16,40.3,2004
2,Philadelphia Eagles,Jeff Blake,37,18,48.6,126,3.4,1,2.7,1,2.7,21,2,17,54.6,2004
3,Philadelphia Eagles,Mike Bartrum,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,39.6,2004
4,Philadelphia Eagles,Brian Westbrook,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,4,0.0,2004
0,Philadelphia Eagles,Donovan McNabb,357,211,59.1,"2,507",7.0,16,4.5,9,2.5,91t,19,112,85.0,2005
1,Philadelphia Eagles,Mike McMahon,207,94,45.4,"1,158",5.6,5,2.4,8,3.9,48,19,96,55.2,2005
2,Philadelphia Eagles,Koy Detmer,56,32,57.1,238,4.2,0,0.0,3,5.4,24,3,15,45.1,2005
3,Philadelphia Eagles,Brian Westbrook,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,3,0.0,2005
0,Philadelphia Eagles,Donovan McNabb,316,180,57.0,"2,647",8.4,18,5.7,6,1.9,87t,21,140,95.5,2006
1,Philadelphia Eagles,Jeff Garcia,188,116,61.7,"1,309",7.0,10,5.3,2,1.1,65,6,40,95.8,2006
2,Philadelphia Eagles,A.J. Feeley,38,26,68.4,342,9.0,3,7.9,0,0.0,89t,1,10,122.9,2006
3,Philadelphia Eagles,David Akers,1,1,100.0,11,11.0,0,0.0,0,0.0,11,0,0,112.5,2006
4,Philadelphia Eagles,Hank Baskett,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0,0,0.0,2006
0,Philadelphia Eagles,Donovan McNabb,473,291,61.5,"3,324",7.0,19,4.0,7,1.5,75t,44,227,89.9,2007
1,Philadelphia Eagles,A.J. Feeley,103,59,57.3,681,6.6,5,4.9,8,7.8,47,3,10,61.2,2007
2,Philadelphia Eagles,Greg Lewis,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,39.6,2007
3,Philadelphia Eagles,Kevin Kolb,0,0,0.0,0,0.0,0,0.0,0,0.0,0,2,13,0.0,2007
0,Philadelphia Eagles,Donovan McNabb,571,345,60.4,"3,916",6.9,23,4.0,11,1.9,90t,23,149,86.4,2008
1,Philadelphia Eagles,Kevin Kolb,34,17,50.0,144,4.2,0,0.0,4,11.8,16,0,0,21.8,2008
2,Philadelphia Eagles,DeSean Jackson,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0,0,0.0,2008
0,Philadelphia Eagles,Donovan McNabb,443,267,60.3,"3,553",8.0,22,5.0,10,2.3,60t,35,264,92.9,2009
1,Philadelphia Eagles,Kevin Kolb,96,62,64.6,741,7.7,4,4.2,3,3.1,71t,3,27,88.9,2009
2,Philadelphia Eagles,Michael Vick,13,6,46.2,86,6.6,1,7.7,0,0.0,43,0,0,93.8,2009
3,Philadelphia Eagles,Brian Westbrook,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,39.6,2009
0,Philadelphia Eagles,Michael Vick,372,233,62.6,"3,018",8.1,21,5.6,6,1.6,91t,34,210,100.2,2010
1,Philadelphia Eagles,Kevin Kolb,189,115,60.8,"1,197",6.3,7,3.7,7,3.7,83t,15,99,76.1,2010
0,Philadelphia Eagles,Michael Vick,423,253,59.8,"3,303",7.8,18,4.3,14,3.3,73,23,126,84.9,2011
1,Philadelphia Eagles,Vince Young,114,66,57.9,866,7.6,4,3.5,9,7.9,58,8,34,60.8,2011
2,Philadelphia Eagles,Mike Kafka,16,11,68.8,107,6.7,0,0.0,2,12.5,43,1,6,47.7,2011
3,Philadelphia Eagles,Chas Henry,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,39.6,2011
0,Philadelphia Eagles,Michael Vick,351,204,58.1,"2,362",6.7,12,3.4,10,2.8,77t,28,153,78.1,2012
1,Philadelphia Eagles,Nick Foles,265,161,60.8,"1,699",6.4,6,2.3,5,1.9,46,20,131,79.1,2012
2,Philadelphia Eagles,Trent Edwards,2,2,100.0,14,7.0,0,0.0,0,0.0,8,0,0,95.8,2012
0,Philadelphia Eagles,Nick Foles,317,203,64.0,"2,891",9.1,27,8.5,2,0.6,63t,28,173,119.2,2013
1,Philadelphia Eagles,Michael Vick,141,77,54.6,"1,215",8.6,5,3.5,3,2.1,70,15,99,86.5,2013
2,Philadelphia Eagles,Matt Barkley,49,30,61.2,300,6.1,0,0.0,4,8.2,26,3,24,44.6,2013
3,Philadelphia Eagles,Brad Smith,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,39.6,2013
0,Philadelphia Eagles,Mark Sanchez,309,198,64.1,"2,418",7.8,14,4.5,11,3.6,72,23,151,88.4,2014
1,Philadelphia Eagles,Nick Foles,311,186,59.8,"2,163",7.0,13,4.2,10,3.2,68t,9,74,81.4,2014
2,Philadelphia Eagles,Matt Barkley,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,39.6,2014
0,Philadelphia Eagles,Sam Bradford,532,346,65.0,"3,725",7.0,19,3.6,14,2.6,78t,28,200,86.4,2015
1,Philadelphia Eagles,Mark Sanchez,91,59,64.8,616,6.8,4,4.4,4,4.4,43,9,54,80.7,2015
0,New England Patriots,Drew Bledsoe,531,312,58.8,"3,291",6.2,17,3.2,13,2.4,59,45,264,77.3,2000
1,New England Patriots,Michael Bishop,9,3,33.3,80,8.9,1,11.1,1,11.1,44t,0,0,64.4,2000
2,New England Patriots,John Friesz,21,11,52.4,66,3.1,0,0.0,1,4.8,17,3,16,39.0,2000
3,New England Patriots,Lee Johnson,1,1,100.0,18,18.0,0,0.0,0,0.0,18,0,0,118.8,2000
4,New England Patriots,Tom Brady,3,1,33.3,6,2.0,0,0.0,0,0.0,6,0,0,42.4,2000
0,New England Patriots,Tom Brady,413,264,63.9,"2,843",6.9,18,4.4,12,2.9,91t,41,216,86.5,2001
1,New England Patriots,Drew Bledsoe,66,40,60.6,400,6.1,2,3.0,2,3.0,58,5,21,75.3,2001
2,New England Patriots,David Patten,2,1,50.0,60,30.0,1,50.0,1,50.0,60t,0,0,95.8,2001
3,New England Patriots,Kevin Faulk,1,1,100.0,23,23.0,0,0.0,0,0.0,23,0,0,118.8,2001
0,New England Patriots,Tom Brady,601,373,62.1,"3,764",6.3,28,4.7,14,2.3,49t,31,190,85.7,2002
1,New England Patriots,Rohan Davey,2,1,50.0,3,1.5,0,0.0,0,0.0,3,0,0,56.2,2002
2,New England Patriots,David Patten,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,39.6,2002
3,New England Patriots,Kevin Faulk,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,39.6,2002
0,New England Patriots,Tom Brady,527,317,60.2,"3,620",6.9,23,4.4,12,2.3,82t,32,219,85.9,2003
1,New England Patriots,Rohan Davey,7,3,42.9,31,4.4,0,0.0,0,0.0,16,0,0,56.2,2003
2,New England Patriots,Kevin Faulk,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,39.6,2003
3,New England Patriots,David Givens,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0,0,0.0,2003
4,New England Patriots,Damon Huard,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,39.6,2003
0,New England Patriots,Tom Brady,474,288,60.8,"3,692",7.8,28,5.9,14,3.0,50,26,162,92.6,2004
1,New England Patriots,Rohan Davey,10,4,40.0,54,5.4,0,0.0,0,0.0,20,0,0,57.9,2004
2,New England Patriots,Adam Vinatieri,1,1,100.0,4,4.0,1,100.0,0,0.0,4t,0,0,122.9,2004
0,New England Patriots,Tom Brady,530,334,63.0,"4,110",7.8,26,4.9,14,2.6,71,26,188,92.3,2005
1,New England Patriots,Matt Cassel,24,13,54.2,183,7.6,2,8.3,1,4.2,36,1,1,89.4,2005
2,New England Patriots,Doug Flutie,10,5,50.0,29,2.9,0,0.0,0,0.0,13,1,13,56.2,2005
0,New England Patriots,Tom Brady,516,319,61.8,"3,529",6.8,24,4.7,12,2.3,62t,26,175,87.9,2006
1,New England Patriots,Matt Cassel,8,5,62.5,32,4.0,0,0.0,0,0.0,10,3,15,70.8,2006
2,New England Patriots,Vinny Testaverde,3,2,66.7,29,9.7,1,33.3,0,0.0,23,0,0,137.5,2006
0,New England Patriots,Tom Brady,578,398,68.9,"4,806",8.3,50,8.7,8,1.4,69t,21,128,117.2,2007
1,New England Patriots,Matt Cassel,7,4,57.1,38,5.4,0,0.0,1,14.3,21,0,0,32.7,2007
2,New England Patriots,Matt Gutierrez,1,1,100.0,15,15.0,0,0.0,0,0.0,15,0,0,118.8,2007
0,New England Patriots,Matt Cassel,516,327,63.4,"3,693",7.2,21,4.1,11,2.1,76t,47,219,89.4,2008
1,New England Patriots,Tom Brady,11,7,63.6,76,6.9,0,0.0,0,0.0,26,0,0,83.9,2008
2,New England Patriots,Kevin O'Connell,6,4,66.7,23,3.8,0,0.0,0,0.0,12,1,2,73.6,2008
3,New England Patriots,Kevin Faulk,1,1,100.0,-2,-2.0,0,0.0,0,0.0,-2,0,0,79.2,2008
0,New England Patriots,Tom Brady,565,371,65.7,"4,398",7.8,28,5.0,13,2.3,81t,16,86,96.2,2009
1,New England Patriots,Brian Hoyer,27,19,70.4,142,5.3,0,0.0,0,0.0,17,2,18,82.6,2009
0,New England Patriots,Tom Brady,492,324,65.9,"3,900",7.9,36,7.3,4,0.8,79t,25,175,111.0,2010
1,New England Patriots,Brian Hoyer,15,7,46.7,122,8.1,1,6.7,1,6.7,42t,0,0,69.3,2010
0,New England Patriots,Tom Brady,611,401,65.6,"5,235",8.6,39,6.4,12,2.0,99t,32,173,105.6,2011
1,New England Patriots,Brian Hoyer,1,1,100.0,22,22.0,0,0.0,0,0.0,22,0,0,118.8,2011
0,New England Patriots,Tom Brady,637,401,63.0,"4,827",7.6,34,5.3,8,1.3,83t,27,182,98.7,2012
1,New England Patriots,Ryan Mallett,4,1,25.0,17,4.2,0,0.0,1,25.0,17,0,0,5.2,2012
0,New England Patriots,Tom Brady,628,380,60.5,"4,343",6.9,25,4.0,11,1.8,81t,40,256,87.3,2013
0,New England Patriots,Tom Brady,582,373,64.1,"4,109",7.1,33,5.7,9,1.5,69t,21,134,97.4,2014
1,New England Patriots,Jimmy Garoppolo,27,19,70.4,182,6.7,1,3.7,0,0.0,37,5,36,101.2,2014
0,New England Patriots,Tom Brady,624,402,64.4,"4,770",7.6,36,5.8,7,1.1,76t,38,225,102.2,2015
1,New England Patriots,Danny Amendola,1,1,100.0,36,36.0,0,0.0,0,0.0,36,0,0,118.8,2015
2,New England Patriots,Jimmy Garoppolo,4,1,25.0,6,1.5,0,0.0,0,0.0,6,0,0,39.6,2015
0,New England Patriots,Tom Brady,432,291,67.4,"3,554",8.2,28,6.5,2,0.5,79t,15,87,112.2,2016
1,New England Patriots,Jimmy Garoppolo,63,43,68.3,502,8.0,4,6.3,0,0.0,37t,3,15,113.3,2016
2,New England Patriots,Jacoby Brissett,55,34,61.8,400,7.3,0,0.0,0,0.0,58,6,46,83.9,2016
