,0
0,Matt
1,Jessica
2,Luke
3,Danny
4,Elektra
5,Colleen
6,Alexandra
7,Claire
8,Madame
9,Foggy
10,Misty
11,Malcolm
12,Trish
13,Karen
14,Michelle
15,Lexi
16,Jeri
17,Father
18,Turk
19,Marci
20,FBI
21,Tyrion
22,Cersei
23,Daenerys
24,Jon
25,Sansa
26,Arya
27,Jaime
28,Jorah
29,Theon
30,Samwell
31,Petyr
32,Lord
33,Brienne of
34,Davos
35,Bran
36,Sandor
37,Grand Maester
38,Eddison
39,Podrick
40,Tormund
41,Grey
42,Tywin
43,Margaery
44,Joffrey
45,Catelyn
46,Barristan
47,Stannis
48,Robb
49,Loras
50,Ramsay
51,Roose
52,Alliser
53,Daario
54,Olenna
55,Tommen
56,Jaqen
57,Meryn
58,Meera
59,Lancel
60,Janos
61,Wun
62,Maester
63,Yara
64,Gregor
65,Rickon
66,Othell
67,Ellaria
68,Rodrik
69,Mace
70,High
71,Jeor
72,Kevan
73,Hot
74,Talisa
75,Maester
76,The
77,Eddard
78,Thoros of
79,Selyse
80,Jojen
81,Shireen
82,Bowen
83,Khal
84,Tyene
85,Beric
86,Yohn
87,Renly
88,Edmure
89,Obara
90,Hizdahr zo
91,Nymeria
92,Septa
93,Robin
94,Maester
95,Myrcella
96,Robert
97,Oberyn
98,Brynden
99,Walder
100,Benjen
101,Areo
102,Septa
103,Black Walder
104,Dontos
105,Euron
106,High
107,Night's Watch
108,Viserys
109,Jory
110,Lysa
111,Mance
112,Doran
113,Xaro Xhoan
114,Randyll
115,Robett
116,Rickard
117,Dagmer
118,Lyanna
119,Walda
120,Trystane
121,Steelshanks
122,Archmaester
123,Tycho
124,Balon
125,Pyat
126,Yezzan zo
127,Karl
128,Ilyn
129,Dickon
130,Qhorin
131,Lothar
132,Lommy
133,Matthos
134,Royal
135,Black
136,Amory
137,Baby
138,Young
139,The Night
140,Lady
141,Spice
142,Three-Eyed
143,Syrio
144,Salladhor
145,Greatjon
146,Harald
147,Razdal mo
148,Thenn
149,Mirri Maz
150,Alton
151,Khal
152,Kraznys mo
153,White
154,Silk
155,Dothraki Bloodrider
156,Musician
157,Dothraki Bloodrider
158,Musician
159,Musician
160,Musician
161,Loyal Night's Watchman
162,Musician
163,Giant Wight
164,Alys
165,Illyrio
166,Lem
167,Smalljon
168,Aeron
169,Dim
170,Belicho
171,Old
172,Thin
173,Vardis
174,Margaery Tyrell
175,Hugh of the
176,Lady Kitty
177,Donnel
178,Ned
179,Dosh khaleen High
180,Young
181,Winterfell
182,The
183,Greizhen mo
184,King's Landing Rioter
185,Ternesio
186,Great Master
187,Young Ned
188,Young Rodrik
189,Lannister
190,Young Benjen
191,Stark
192,Mummer
193,Mummer
194,Tobho
195,Mummer
196,Night's Watchman
197,Willem
198,Loyal Night's Watchman
199,Night's Watchman
200,Night's
201,Male
202,Little Bird
203,Little Bird
204,Little Bird
205,Little Bird
206,Little Bird
207,Joyeuse
208,Lyanna
209,Leo
210,Brother
211,Imry
212,Mandon
213,Melessa
214,Captain of the
215,Lord of
216,Jon
217,Waymar
218,Prendahl na
219,Catspaw
220,Maester
221,Citadel
222,Lannister
223,The Waif's
224,Roslin
225,Anya
226,Street Red Priestess
227,Black Armored White
228,Wine
229,Pentoshi
230,Street Red Priestess
231,Northman
232,Aerys
233,Great Master
234,Wildling
235,Lannister
236,White Walker
237,Drowned
238,Merchant
239,Great Master
240,Talla
241,Jaremy
242,Wight Wildling
243,Captain's
244,Great Master
245,Lead Dornish
246,Great Master
247,Goldcloak
248,Lordsport
249,Axell
250,Great Master
251,Goldcloak
252,Little
253,Knight of House
254,Old Woman
255,Great Master
256,Faith Militant
257,Stevron
258,Eon
